site_name,year,lat,lon,alt_cm,n_pts
KT-6,2021,67.84170423076924,-139.76171423076923,76.5,78
KT-6,2022,67.84167913043478,-139.76170608695654,73.52173913043478,69
KT-OCF55,2022,67.84175,-139.76142,79.25,12
KT-OCF55T,2022,67.841126,-139.75792199999998,39.8,15
KT-OCFE,2022,67.931868,-139.44606800000003,33.6,15
KT-OCFF,2022,67.910036,-139.6971,58.4,15
KT-OCFJD2,2022,67.92115,-139.47896666666668,117.66666666666667,9
KT-PR2CM,2022,67.920584,-139.431112,46.4,15
KT-PR2CT,2022,67.91811,-139.40756199999998,33.0,15
KT-PR2SD,2022,67.92478,-139.374796,40.6,15
KT-PR3C,2022,67.92632,-139.353982,32.4,15
KT-PR3M,2022,67.929194,-139.348344,37.0,15
L1,2019,61.30999,-121.29675,101.666666666667,1
L2,2019,61.31013,-121.2967,94.6666666666667,1
L3,2019,61.31034,-121.29667,99.6666666666667,1
L4,2019,61.31052,-121.29671,45.6666666666667,1
L5,2019,61.31069,-121.29668,52.6666666666667,1
L6,2019,61.31086,-121.29666,56.0,1
Lins_Lake,2018,70.13677699043478,-148.65148832289856,63.89281163362318,690
Lins_Lake,2019,70.13812294102564,-148.66474600128205,44.19974371153846,78
Lins_Lake,2020,70.13825179999999,-148.66551863333333,37.928332983333334,6
M1,2019,61.30996,-121.29629,89.6666666666667,1
M2,2019,61.31016,-121.29633,61.0,1
Max ALT,2014,68.65585787272727,-149.24541136363635,42.63636363636363,11
Max_ALT,2014,68.65538140276166,-149.24216718379282,44.57829693280821,8379
MegaSpot,2014,69.06626208017471,-148.78874089074657,54.73482783138649,9845
MegaSpot,2015,69.069985112,-148.79149144000002,58.524,10
MegaSpot,2016,69.07088304595645,-148.79750106631352,54.67912301353737,5097
Megaspot,2014,69.06548783333334,-148.7859305,47.40833333333333,12
Megaspot,2016,69.0711202,-148.7946324,49.739999999999995,5
Melting_Polygons,2016,68.91642298501621,-148.84759535722617,51.44527543745949,1543
Mod,2013,68.95141278,-150.2115191,62.431372549019606,102
Mod,2018,68.9518255925,-150.211069136,62.431372549019606,51
Mod_Burn,2016,68.95183501333334,-150.2105579137255,59.254901960784316,204
N1,2019,61.30998,-121.29597,80.5,1
N7,2019,61.31104,-121.29588,57.3333333333333,1
NOAT,2016,67.97959100840336,-160.73843027310923,38.36239495798319,952
NOAT,2018,68.0386805882353,-159.75581921568627,42.59068627450981,612
NR_818_1,2016,68.6476246952381,-149.39043996190478,42.523809523809526,84
NR_818_2,2016,68.64787404,-149.3872538,59.19047619047619,84
NR_818_3,2016,68.64818351047619,-149.3836481,49.333333333333336,84
NR_818_4,2016,68.64846657999999,-149.3785109526316,47.10526315789474,76
NR_818_5,2016,68.64846578950001,-149.37471903,46.5,80
NR_818_6,2016,68.6483653665,-149.37037264999998,44.65,80
NR_818_7,2016,68.64831022785714,-149.36307497857143,56.285714285714285,56
NR_819_1,2016,68.6485426252381,-149.35677445714288,58.95238095238095,84
NR_819_2,2016,68.64880217,-149.35523422380953,57.42857142857143,84
NR_819_3,2016,68.64938056619047,-149.35172505714286,53.19047619047619,84
NR_819_4,2016,68.64963599047618,-149.34985095714288,67.76190476190476,84
NR_819_random,2016,68.64796935736842,-149.3788459763158,55.63157894736842,152
NS,2017,69.37261072727273,-148.73306745454545,34.10363636363636,55
NS,2018,69.3702355,-148.736463625,44.7225,240
New Site,2016,68.54613371666666,-149.49003333333334,50.333333333333336,6
New_Site,2016,68.54573671505167,-149.49033374457366,38.9275968992248,774
Nome Creek Burned Old,2013,65.340041,-146.91024716666666,19.516129032258064,93
Nome Creek Unburned Old,2013,65.3403470469314,-146.91993514801445,37.09747292418773,277
North Ridge,2016,68.64862118965517,-149.3513294137931,47.724137931034484,29
North Slope,2017,71.27836680553452,-156.61468097226432,20.464646464646464,198
North_Ridge,2016,68.64814135483871,-149.36124316168858,50.93282357626444,2511
North_Slope,2017,71.27826318297872,-156.61513920851064,22.74340425531915,1175
O1,2019,61.30993,-121.29547,84.0,1
O2,2019,61.31016,-121.29556,100.333333333333,1
O3,2019,61.31032,-121.29552,59.0,1
O4,2019,61.31052,-121.29556,136.666666666667,1
P1,2019,61.30995,-121.29518,88.3333333333333,1
P2,2019,61.31011,-121.29509,87.0,1
P3,2019,61.31032,-121.29517,67.6666666666667,1
